artist,album,song,time,feat,type,tempo,arc,inst1,inst2,inst3,tag1,tag2,tag3,kw1,kw2,kw3,style1,style2,style3,genre1,genre2,genre3,
Dave Depper,,Coming Into Focus,0:31,,instr,3,Steady,Mallets,Strings,,Bright,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,,,,
Dave Depper,,Country Shuffle,1:03,,instr,3,Steady,Electric Guitar,Bass,Drums,Playful,Upbeat,Fun,Happy,,,Business,Documentary,Case Study,Folk & Americana,"Blues, Roots & Jazz",,
Dave Depper,,Disco Reveal,0:32,,instr,3,Steady,Electric Guitar,Bass,Synthesizer,Bouncy,Bright,Confident,Light,,,Business,Documentary,Case Study,Dance,Rock & Roll,,
Dave Depper,,Electric Party Time,0:20,,instr,3,Steady,Electric Guitar,Bass,Synthesizer,Bouncy,Bright,Confident,Light,Silly,,Business,Documentary,Case Study,Dance,Pop,,
Dave Depper,,Family 1,0:49,,instr,3,Steady,Electric Guitar,Bass,Hand Claps,Bright,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Folk & Americana,Indie Pop,,
Dave Depper,,Family 2,0:46,,instr,3,Steady,Electric Guitar,Bass,Hand Claps,Bright,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Folk & Americana,Indie Pop,,
Dave Depper,,Friendly Tech,0:33,,instr,3,Steady,Acoustic Guitar,Synthesizer,Drum Machine,Bright,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Electronic,,,
Dave Depper,,Funky,0:51,,instr,3,Steady,Electric Guitar,Bass,Rock & Roll,Youthful,Confident,Rebellious,Stoic,,,Business,Documentary,Case Study,Funk,,,
Dave Depper,,Gather Round,0:38,,instr,3,Steady,Electric Guitar,Bass,Mandolin,Bright,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Indie Pop,Folk & Americana,Pop,
Dave Depper,,Go Go 60'S,0:46,,instr,3,Steady,Electric Guitar,Bass,Drums,Youthful,Confident,Rebellious,Fun,,,Business,Documentary,Case Study,Rock & Roll,Pop,,
Dave Depper,,Heartstrings,1:12,,instr,3,Steady,Piano,Acoustic Guitar,Strings,Bright,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Cinematic,Orchestral,,
Dave Depper,,Holiday,1:00,,instr,3,Steady,Electric Guitar,Bass,Drums,Bright,Optimistic,Fun,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Holiday,Rock & Roll,Pop,
Dave Depper,,Holiday 2,0:32,,instr,3,Steady,Electric Guitar,Bass,Drums,Bright,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Holiday,Rock & Roll,Indie Pop,
Dave Depper,,I'll Be Waiting For You,0:17,,vox,3,Steady,Electric Guitar,Bass,Drums,Youthful,Emotional,Human,,,,Business,Documentary,Case Study,,Rock & Roll,,
Dave Depper,,Look 1,0:31,,instr,3,Ascending,Electric Guitar,Bass,Strings,Bouncy,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,,,,
Dave Depper,,Look 2,0:32,,instr,3,Steady,Electric Guitar,Bass,Synthesizer,Bright,,,,,,Business,Documentary,Case Study,,,,
Dave Depper,,Marimba Motivation,1:04,,instr,3,Steady,Electric Guitar,Bass,Mallets,Fun,Inspiring,Light,Bouncy,Epic,,Business,Documentary,Case Study,World,,,
Dave Depper,,Motivational Beat,0:15,,instr,5,Steady,Electric Guitar,Bass,Drums,Energetic,Light,Exciting,Fun,Pumped,,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Motor City,0:30,,instr,3,Steady,Electric Guitar,Bass,Drums,Confident,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Organ Samba,0:32,,instr,3,Ascending,Electric Guitar,Bass,Acoustic Guitar,Fun,Light,Silly,Bouncy,Confident,,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Personal Trainer,0:30,,instr,3,Ascending,Electric Guitar,Bass,Synthesizer,Bright,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Electronic,Pop,Slowjams,
Dave Depper,,Perspective,1:02,,instr,3,Ascending,Electric Guitar,Bass,Synthesizer,Confident,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Electronic,Pop,,
Dave Depper,,Picante,0:50,,instr,4,Steady,Electric Guitar,Bass,Drums,Confident,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Pop,Folk & Americana,,
Dave Depper,,Picturebook,2:13,,instr,3,Steady,Acoustic Guitar,Bass,Electric Piano,Playful,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Indie Pop,Orchestral,,
Dave Depper,,Plucky Good Times,0:36,,instr,3,Steady,Acoustic Guitar,Bass,Drum Machine,Playful,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Folk & Americana,Pop,,
Dave Depper,,Pool,0:32,,instr,3,Steady,Synthesizer,Bass,Drums,Stoic,Mysterious,Calm,Burdened,Emotional,,Business,Documentary,Case Study,,,,
Dave Depper,,Pop Nugget,0:32,,instr,3,Steady,Electric Guitar,Bass,Drums,Confident,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Pop,,,
Dave Depper,,Pop Time Machine,0:33,,instr,3,Steady,Electric Guitar,Bass,Drums,Confident,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Pop,,,
Dave Depper,,Rare Groove,0:29,,instr,3,Steady,Electric Guitar,Bass,Drums,Stoic,Mysterious,Calm,Burdened,Emotional,,Business,Documentary,Case Study,Slowjams,,,
Dave Depper,,Relief,0:20,,instr,3,Ascending,Acoustic Guitar,Mallets,Strings,Mysterious,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Cinematic,,,
Dave Depper,,Revelation,0:30,,instr,3,Ascending,Electric Guitar,Bass,Pop,Playful,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Holiday,,,
Dave Depper,,Rock 1,0:47,,instr,3,Steady,Electric Guitar,Bass,Drums,Rebellious,Confident,Mischievous,Stoic,,,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Rock 2,1:48,,instr,3,Steady,Electric Guitar,Bass,Drums,Rebellious,Confident,Mischievous,Stoic,,,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Rockabilly,0:52,,instr,3,Steady,Electric Guitar,Bass,Drums,Playful,,Whimsical,Silly,,,Business,Documentary,Case Study,Folk & Americana,,,
Dave Depper,,Ruckus 2,0:35,,instr,3,Steady,Electric Guitar,Bass,Drums,Rebellious,Confident,Mischievous,Stoic,Pumped,Gritty,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Ruckus 3,0:35,,instr,3,Steady,Electric Guitar,Bass,Drums,Rebellious,Confident,Mischievous,Stoic,Pumped,Gritty,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Sharpie 1,0:33,,instr,3,Steady,Electric Guitar,Bass,Drums,Bouncy,Fun,Optimistic,Human,Upbeat,,Business,Documentary,Case Study,Dance,,,
Dave Depper,,Southern Excitement,0:32,,instr,3,Ascending,Electric Guitar,Bass,Electric Piano,Rebellious,Confident,Mischievous,Stoic,Pumped,Gritty,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Sportsreel,0:31,,instr,3,Ascending,Electric Guitar,Bass,Drums,Confident,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Electronic,Rock & Roll,,
Dave Depper,,Streets At Night,0:35,,instr,3,Steady,Piano,Bass,Drum Machine,Ethereal,Mysterious,Cold,Burdened,Precise,,Business,Documentary,Case Study,Cinematic,,,
Dave Depper,,Super-friendly,0:36,,instr,3,Steady,Electric Guitar,Bass,Strings,Playful,Optimistic,Whimsical,Hopeful,,,Business,Documentary,Case Study,Pop,Holiday,,
Dave Depper,,Swagger 1,1:02,,instr,3,Ascending,Electric Guitar,Bass,Electric Piano,Rebellious,Confident,Mischievous,Stoic,Pumped,Gritty,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Swagger 2,1:10,,instr,3,Ascending,Electric Guitar,Bass,Electric Piano,Rebellious,Confident,Mischievous,Stoic,Pumped,Gritty,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Tech Strings,1:34,,instr,3,Ascending,Synthesizer,Drum Machine,Strings,Bouncy,Optimistic,Precise,Stirring,,,Business,Documentary,Case Study,Electronic,,,
Dave Depper,,The Plan Worked,1:06,,instr,3,Ascending,Acoustic Guitar,Bass,Synthesizer,Confident,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Pop,,,
Dave Depper,,The Wonder,0:31,,instr,3,Ascending,Electric Guitar,Bass,Drum Machine,Emotional,Hopeful,Ethereal,Stirring,Uplifting,Empowering,Business,Documentary,Case Study,Folk & Americana,Indie Pop,,
Dave Depper,,Traffic,0:33,,instr,3,Steady,Electric Guitar,Bass,Mandolin,Playful,Hopeful,Confident,Hopeful,Ethereal,Stirring,Business,Documentary,Case Study,Folk & Americana,,,
Dave Depper,,Unfolding,0:31,,instr,3,Ascending,Electric Guitar,Bass,Drums,Classic,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Indie Pop,Pop,,
Dave Depper,,Up,0:33,,instr,3,Ascending,Electric Guitar,Bass,Drums,Confident,Optimistic,Human,Hopeful,Light,Uplifting,Business,Documentary,Case Study,Rock & Roll,,,
Dave Depper,,Up In The Air,1:05,,instr,3,Ascending,Electric Guitar,Bass,Strings,Emotional,Hopeful,Ethereal,Stirring,Uplifting,Empowering,Business,Documentary,Case Study,Cinematic,,,
Dave Depper,,Upbeat Whistle,0:44,,instr,3,Ascending,Electric Guitar,Bass,Drums,Fun,Playful,Positive,Happy,,,Business,Documentary,Case Study,Indie Pop,,,
Dave Depper,,Waltz Dream,0:23,,instr,3,Steady,Electric Guitar,Bass,,Optimistic,Emotional,Hopeful,Light,Uplifting,,Business,Documentary,Case Study,Cinematic,Orchestral,,
Dave Depper,,We Are Coming Home,1:09,,vox,3,Ascending,Electric Guitar,Bass,Acoustic Guitar,Optimistic,Human,Hopeful,Light,Uplifting,,Business,Documentary,Case Study,,,,
Dave Depper,,Western,0:22,,instr,3,Steady,Electric Guitar,Bass,Drums,Honorable,Fun,Confident,Hopeful,Bouncy,Playful,Business,Documentary,Case Study,Folk & Americana,,,
Dave Depper,,Wholesome 1,0:40,,instr,3,Ascending,Electric Guitar,Bass,Drum Machine,Emotional,Hopeful,Ethereal,Stirring,Uplifting,Empowering,Business,Documentary,Case Study,Folk & Americana,Indie Pop,,
Dave Depper,,Wholesome 3,0:39,,instr,3,Ascending,Electric Guitar,Bass,Drum Machine,Emotional,Hopeful,Ethereal,Stirring,Uplifting,Empowering,Business,Documentary,Case Study,Folk & Americana,Indie Pop,,
Dave Depper,,Wholesome 4,0:33,,instr,3,Ascending,Electric Guitar,Bass,Drum Machine,Emotional,Hopeful,Ethereal,Stirring,Uplifting,Empowering,Business,Documentary,Case Study,Electronic,Indie Pop,Folk & Americana,
Dave Depper,,Wholesome 5,0:36,,instr,3,Ascending,Electric Guitar,Backing Vocals,Drum Machine,Emotional,Hopeful,Ethereal,Stirring,Uplifting,Empowering,Business,Documentary,Case Study,Folk & Americana,Indie Pop,,
Dave Depper,,Wholesome 6,0:36,,instr,3,Ascending,Electric Guitar,Bass,Drum Machine,Emotional,Hopeful,Ethereal,Stirring,Uplifting,Empowering,Business,Documentary,Case Study,Folk & Americana,Indie Pop,,
Dave Depper,,Wholesome 7,0:40,,instr,3,Ascending,Electric Guitar,Bass,Drum Machine,Emotional,Hopeful,Ethereal,Stirring,Uplifting,Empowering,Business,Documentary,Case Study,Folk & Americana,Indie Pop,,
David Szesztay,,Above Us,1:18,Featured,instr,2,Steady,Strings,,,Emotional,Hopeful,Mysterious,Ethereal,Spiritual,Uplifting,Documentary,Drama,Narrative,Orchestral,Cinematic,,
David Szesztay,,Above Us 2,0:51,,instr,2,Steady,Strings,,Strings,Emotional,Hopeful,Mysterious,Ethereal,Spiritual,Uplifting,Documentary,Drama,Narrative,Orchestral,Cinematic,Orchestral,
David Szesztay,,Anagnorisis,0:27,,instr,3,Steady,Electric Guitar,,,,,,,,,,,,Cinematic,Minimal,,
David Szesztay,,Backward,3:14,,instr,3,Steady,Synthesizer,Strings,,Emotional,Hopeful,Mysterious,Ethereal,Spiritual,Uplifting,Documentary,Drama,Narrative,Ambient,Minimal,Cinematic,
David Szesztay,,Backyard,1:36,,instr,3,Steady,Strings,Piano,,Fun,Hopeful,Mysterious,Ethereal,Quirky,Bright,Business,Case Study,Narrative,Cinematic,,,
David Szesztay,,Beach Party,2:51,,instr,3,Steady,Organ,Electric Guitar,,Fun,Upbeat,Silly,Bouncy,Quirky,Bright,Business,Teen,Narrative,Rock & Roll,,,
David Szesztay,,Bizarre Waltz,1:20,,instr,3,Steady,Piano,Electric Guitar,Drums,,,,,,,,,,Cinematic,,,
David Szesztay,,Broken Pieces,0:37,,instr,3,Steady,Piano,Bass,Drums,Emotional,Dark,Mysterious,Ethereal,Sombre,Uplifting,Documentary,Drama,Narrative,Cinematic,,,
David Szesztay,,Burlesque,0:47,Featured,instr,5,Steady,Piano,Acoustic Guitar,,Exciting,Energetic,Light,Fun,Folk,Indie Pop,Indie,,,Cinematic,Folk & Americana,,
David Szesztay,,Bushes,0:37,,instr,3,Steady,Electric Guitar,,,,,,,,,Crime,,,Cinematic,,,
David Szesztay,,Cascet,2:06,,instr,3,Steady,Electric Piano,Synthesizer,,Mysterious,Meandering,Ethereal,,,,Documentary,Drama,Crime,Ambient,Minimal,Cinematic,
David Szesztay,,Chains Down,1:10,,instr,3,Steady,Piano,Chimes & Bells,,Hopeful,,Ethereal,,,,Documentary,Crime,Drama,Cinematic,Minimal,Cinematic,
David Szesztay,,Cheese,0:32,Featured,instr,3,Steady,Piano,Ukulele,Hand Claps,Hopeful,Upbeat,,Happy,Uplifting,,Business,Childrens,,Indie Pop,Folk & Americana,,
David Szesztay,,Coffee Shop,0:44,,instr,3,Steady,Piano,Acoustic Guitar,Bass,Bouncy,Bright,Light,Optimistic,,,Business,Comedy,Documentary,"Blues, Roots & Jazz",Cinematic,,
David Szesztay,,Crime Story,1:02,,instr,3,Steady,Acoustic Guitar,,,Playful,Mysterious,Fun,,,"Blues, Roots & Jazz",Narrative,Documentary,Documentary,Cinematic,Folk & Americana,,
David Szesztay,,Dark Smile,0:58,,instr,3,Steady,Electric Guitar,,,Dark,Depressed,Emotional,Sinister,,,Crime,Documentary,Political,Ambient,Minimal,,
David Szesztay,,Drive,0:41,,instr,3,Steady,Electric Guitar,,,Empowering,Gritty,,,,,Documentary,Road Trip,,Cinematic,Indie Pop,,
David Szesztay,,Easy Easy,2:03,Featured,instr,3,Steady,Acoustic Guitar,Ukulele,,Light,Upbeat,Intimate,Uplifting,,,Documentary,Drama,,Cinematic,"Blues, Roots & Jazz",,
David Szesztay,,Eve,1:34,,instr,3,Steady,Synthesizer,,,Burdened,Sinister,Depressed,,,,Crime,Avant Garde,,Ambient,Minimal,,
David Szesztay,,Execution,1:47,,instr,3,Ascending,Electric Guitar,Strings,,Emotional,Cold,Dark,Dynamic,Empowering,,Drama,Documentary,Sports,Cinematic,Orchestral,,
David Szesztay,,Farewell,1:52,,instr,3,Steady,Piano,Strings,,Gritty,Light,Intimate,Emotional,,,Drama,Business,Documentary,Cinematic,Orchestral,,
David Szesztay,,First Step Inside,1:03,,instr,3,Steady,Electric Guitar,,,,Dark,Mysterious,,,,Documentary,Wedding,,Cinematic,"Blues, Roots & Jazz",,
David Szesztay,,Fishing,0:43,,instr,3,Steady,Acoustic Guitar,,,Light,Meandering,Human,Hopeful,Sentimental,,Business,Documentary,Wedding,Cinematic,Indie Pop,,
David Szesztay,,Floating Arrow,0:47,Featured,instr,3,Steady,Piano,Electric Guitar,,Imaginative,Mysterious,,,,,Drama,Documentary,Wedding,Cinematic,Minimal,,
David Szesztay,,Freezing,1:28,,instr,3,Steady,Piano,,,Calm,Emotional,Reflective,,,Cinematic,Documentary,Case Study,Narrative,Minimal,Ambient,,
David Szesztay,,Go Lili,0:31,,instr,3,Steady,Piano,,,Silly,Light,Exciting,Happy,,Fun,Business,Childrens,,Pop,,,
David Szesztay,,Gondola,0:49,,instr,3,Steady,Electric Guitar,Drums,,Silly,Light,Exciting,Happy,,Fun,Business,Childrens,Documentary,Indie Pop,,,
David Szesztay,,Heaven,0:44,,instr,3,Steady,Electric Guitar,Bass,,Angelic,Emotional,Inspiring,,,,Documentary,,,Minimal,Electronic,,
David Szesztay,,Humming,0:48,Featured,instr,3,Steady,Piano,Strings,,Upbeat,Light,Human,Hopeful,Emotional,,Business,Childrens,Documentary,Cinematic,Indie Pop,,
David Szesztay,,In The Sun,1:36,,instr,3,Steady,Acoustic Guitar,,,Minimal,Gritty,Meandering,Stoic,Stirring,,Documentary,Crime,Historical,Minimal,"Blues, Roots & Jazz",,
David Szesztay,,Joy In The Restaurant,0:50,,instr,4,Steady,Piano,,,Positive,Upbeat,Dynamic,Happy,Uplifting,Hopeful,Wedding,Business,,"Blues, Roots & Jazz",,,
David Szesztay,,Kids In The Museum,0:15,,instr,3,Steady,Piano,,,Positive,Upbeat,Dynamic,Happy,Uplifting,Hopeful,Wedding,Business,,Cinematic,Minimal,,
David Szesztay,,Lady Allright,0:41,,instr,3,Steady,Piano,Acoustic Guitar,Strings,Positive,Upbeat,Dynamic,Happy,Uplifting,Hopeful,Western,,,Folk & Americana,,,
David Szesztay,,Ladybirds Theme,1:41,Featured,instr,3,Steady,Piano,Electric Guitar,,Positive,Upbeat,Dynamic,Hopeful,Uplifting,Inspiring,Business,Sports,Documentary,Cinematic,Minimal,,
David Szesztay,,Lighsun,0:32,,instr,3,Steady,Electric Guitar,Strings,,Positive,Upbeat,Dynamic,Happy,Uplifting,Hopeful,Case Study,Business,Documentary,Cinematic,Minimal,Electronic,
David Szesztay,,Linger,2:39,,instr,3,Steady,Electric Guitar,,,Pensive,Reflective,Calm,Mysterious,,,Case Study,Documentary,Narrative,Cinematic,,,
David Szesztay,,Look Of A Lover,0:47,,instr,3,Steady,Electric Guitar,,,Minimal,Gritty,Meandering,Stoic,Stirring,,Drama,Documentary,Narrative,Minimal,,,
David Szesztay,,Looking Back,0:56,Featured,instr,3,Steady,Strings,,,Emotional,Sentimental,Angelic,Stirring,Honorable,,Business,Documentary,Sports,Orchestral,Cinematic,,
David Szesztay,,Mindnight,0:51,,instr,3,Steady,Piano,,,Dark,Emotional,Depressed,,,,Drama,,,Ambient,,,
David Szesztay,,Morning One,3:25,,instr,3,Ascending,Piano,Electric Guitar,Synthesizer,Cold,Industrial,Stoic,Sombre,,,Drama,Sports,Documentary,Minimal,Electronic,,
David Szesztay,,Ocean,0:44,,instr,3,Steady,Piano,Strings,,Emotional,Sentimental,Angelic,Stirring,Honorable,,Drama,Documentary,Narrative,Orchestral,Cinematic,,
David Szesztay,,Old Bernie Blues,0:54,,instr,3,Steady,Electric Guitar,,,Meandering,Gritty,Burdened,Soulful,Sombre,,Drama,Documentary,Narrative,Cinematic,"Blues, Roots & Jazz",Minimal,
David Szesztay,,Old Mans Tale,2:11,,instr,2,Steady,Piano,Synthesizer,,Angelic,Emotional,Empowering,Hopeful,Sentimental,Positive,Wedding,Documentary,Business,Cinematic,Ambient,Minimal,
David Szesztay,,Oldie Song,2:23,,instr,3,Steady,Piano,Acoustic Guitar,,Positive,Upbeat,Dynamic,Happy,Uplifting,Hopeful,Wedding,Documentary,Narrative,"Blues, Roots & Jazz",Folk & Americana,,
David Szesztay,,One More Round,1:58,,instr,3,Steady,Acoustic Guitar,,,Intimate,Burdened,Stoic,Soulful,,,Documentary,Historical,Narrative,"Blues, Roots & Jazz",,,
David Szesztay,,Open Windows,1:02,,instr,3,Ascending,Piano,,,Emotional,Angelic,Uplifting,Human,Hopeful,Inspiring,Business,Wedding,Documentary,Cinematic,Minimal,,
David Szesztay,,Open Windows 2,1:04,Featured,instr,3,Ascending,Piano,Synthesizer,,Emotional,Angelic,Uplifting,Human,Hopeful,Inspiring,Business,Wedding,Documentary,Cinematic,Minimal,,
David Szesztay,,Opening Lines,0:43,Featured,instr,3,Steady,Piano,Acoustic Guitar,Strings,Hopeful,Emotional,Angelic,Uplifting,Exciting,Calming,Business,Drama,Documentary,Cinematic,Orchestral,,
David Szesztay,,Photo Album,1:08,,instr,3,Steady,Piano,,,Intimate,Human,Hopeful,Sentimental,Light,,Business,Drama,,"Blues, Roots & Jazz",Minimal,,
David Szesztay,,Racing Ladybird,0:53,,instr,3,Steady,Piano,Drum Machine,,Reflective,Exciting,Hopeful,Confident,,,Business,Drama,Sports,Electronic,Indie Pop,,
David Szesztay,,Reopen,1:27,,instr,3,Steady,Piano,,,Reflective,Hopeful,Sparse,Cinematic,,,Drama,Documentary,Indie,Ambient,Minimal,,
David Szesztay,,Romance,1:33,,instr,3,Steady,Piano,,,Reflective,Hopeful,Sparse,Cinematic,Calming,Mysterious,Drama,Documentary,Indie,Cinematic,Minimal,,
David Szesztay,,Round And Round,0:39,,instr,3,Steady,Piano,,,Exciting,Energetic,Upbeat,Human,Melodic,,Road Trip,Business,Comedy,Folk & Americana,,,
David Szesztay,,Snow,2:03,,instr,3,Steady,Piano,Synthesizer,Chimes & Bells,Reflective,Hopeful,Sparse,Cinematic,Calming,Mysterious,Drama,Sports,Documentary,Cinematic,,,
David Szesztay,,Sometimes We Are The Same,2:11,,instr,3,Steady,Electric Guitar,Drum Machine,,Exciting,Energetic,Upbeat,Human,Melodic,,Road Trip,Business,Explainer,Cinematic,,,
David Szesztay,,Stairway,1:57,Featured,instr,3,Steady,Piano,,,Intimate,Hopeful,Pensive,Melodic,,,Drama,Documentary,Historical,Cinematic,Minimal,,
David Szesztay,,Surprise,0:31,,instr,3,Steady,Piano,,,Fun,Silly,Light,,,,Childrens,Business,,"Blues, Roots & Jazz",,,
David Szesztay,,Surreal 2,1:32,,instr,3,Steady,Electric Guitar,,,Mysterious,Pensive,Burdened,Depressed,,,Drama,Documentary,Narrative,Ambient,Minimal,,
David Szesztay,,Sweet water,0:52,,instr,3,Steady,Strings,Acoustic Guitar,Piano,Emotional,Classic,Empowering,Dynamic,Bright,Sentimental,Drama,Documentary,Narrative,Cinematic,,,
David Szesztay,,Take Care,0:49,Featured,instr,3,Steady,Piano,Acoustic Guitar,,Sentimental,Upbeat,Emotional,Uplifting,Inspiring,,Business,Explainer,Documentary,Cinematic,Indie Pop,,
David Szesztay,,The Dance,2:34,,instr,3,Steady,Piano,Strings,Drums,,Imaginative,Energetic,Fun,Acoustic,,Adventure,Documentary,Narrative,Folk & Americana,"Blues, Roots & Jazz",,
David Szesztay,,The End,1:18,,instr,3,Ascending,Electric Guitar,Piano,,Emotional,Classic,Empowering,Dynamic,Bright,Sentimental,Drama,Documentary,Narrative,Indie Pop,Pop,,
David Szesztay,,The Hangover,1:32,,instr,3,Steady,Acoustic Guitar,,,Emotional,Intimate,Reflective,,,,Drama,Documentary,Narrative,Folk & Americana,Indie Pop,,
David Szesztay,,The Little Z,1:01,,instr,3,Steady,Piano,,,Sentimental,Upbeat,Emotional,Uplifting,Inspiring,,Business,Explainer,Documentary,Cinematic,Indie Pop,,
David Szesztay,,Throughout The City,0:55,,instr,3,Ascending,Piano,,,Sentimental,Upbeat,,Uplifting,Inspiring,,Business,Explainer,Documentary,Cinematic,Indie Pop,Folk & Americana,
David Szesztay,,Throughout The City 2,1:02,Featured,vox,3,Steady,Piano,Backing Vocals,Acoustic Guitar,Sentimental,Upbeat,Emotional,Uplifting,Inspiring,,Business,Explainer,Documentary,Cinematic,Indie Pop,,
David Szesztay,,Toy Shop,0:48,,instr,4,Steady,Piano,Strings,,Exciting,Energetic,Upbeat,Human,Melodic,,Road Trip,Business,Explainer,Cinematic,,,
David Szesztay,,Traveller,1:43,,instr,5,Steady,Piano,Drum Machine,Synthesizer,Exciting,Energetic,Upbeat,,,,Road Trip,Business,Explainer,Cinematic,,,
David Szesztay,,Tune100,0:55,,instr,5,Steady,Piano,Strings,Acoustic Guitar,Emotional,Exciting,Human,Ecstatic,,,,,,Folk & Americana,,,
David Szesztay,,Underwater,7:27,,instr,3,Steady,Piano,Synthesizer,,Dark,Reflective,,Sombre,,,Drama,Documentary,Narrative,Ambient,Minimal,,
David Szesztay,,Union,0:46,,instr,3,Steady,Electric Guitar,,,Dark,Reflective,,Sombre,,,Drama,Documentary,Narrative,Ambient,Minimal,,
David Szesztay,,Waiting,1:27,,instr,3,Steady,Acoustic Guitar,Hand Claps,Strings,Upbeat,Human,,Happy,Uplifting,,Crowdfunding,Business,Explainer,Folk & Americana,Minimal,,
David Szesztay,,Welcome Home,0:30,,instr,3,Steady,Acoustic Guitar,Hand Claps,Strings,Upbeat,Human,,Happy,Uplifting,,Crowdfunding,Business,Explainer,Cinematic,Folk & Americana,,
David Szesztay,,Wind,1:37,,instr,3,Steady,Piano,Acoustic Guitar,,Mysterious,Depressed,Reflective,,,,Documentary,Narrative,Drama,Ambient,Cinematic,Minimal,
Dim Dim,,Alouette,6:35,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Amsterdam,6:43,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Belle Etranger,4:23,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Bounce,3:22,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Buggy,5:10,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Caramba,4:02,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Chooby,2:17,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Crispy,3:51,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Cuppack,4:44,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Easy Victory,2:57,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
Dim Dim,,Flavia,4:03,,instr,4,Steady,Synthesizer,Drum Machine,Acoustic Guitar,Bouncy,Bright,Ecstatic,Exciting,Happy,Whimsical,Childrens,Makers & Creators,Adventure,Electronic,,,
